symptoms,department
"rash with fever, blocked nose",Pediatrician
"persistent cough, difficulty swallowing",Oncologist
"tingling, severe headache, numbness",Neurologist
"rapid heartbeat, leg swelling, chest pain",Cardiologist
"runny nose, cough, low grade fever",General Physician
"numbness, tingling",Neurologist
"tooth pain with headache, bleeding while brushing",Dentist
"child fever, blocked nose, dehydration",Pediatrician
"neck stiffness, back pain",Orthopedic
"sprain, knee pain",Orthopedic
"lower abdominal pain urination, urine leakage, urinary urgency",Urologist
"low grade fever, mild fever, fatigue",General Physician
"balance problem, seizure, severe headache",Neurologist
"pregnancy nausea, irregular periods, spotting",Gynecologist
"persistent cough, swollen lymph nodes",Oncologist
"missed period, spotting, painful periods",Gynecologist
"difficulty starting urination, urine infection",Urologist
"unusual bleeding, loss of appetite, night sweats, blood in cough",Oncologist
"nausea, heartburn, diarrhea, loss of appetite",Gastroenterologist
"itching, breast tenderness, pregnancy nausea",Gynecologist
"acidity, nausea, bloating",Gastroenterologist
"anxiety, suicidal thoughts, insomnia",Psychiatrist
"cough, flu, mild fever, chills",General Physician
"breathlessness at night, rapid heartbeat, sweating",Cardiologist
"neck stiffness, wrist injury",Orthopedic
"eye pain, eye discharge, dry eyes",Ophthalmologist
"child fever, rash with fever, child wheezing",Pediatrician
"missed period, itching, pelvic pain",Gynecologist
"white discharge, itching, missed period",Gynecologist
"social anxiety, overthinking, anxiety, mood swings",Psychiatrist
"tooth sensitivity, broken tooth, bad breath, jaw pain",Dentist
"chest pain, high blood pressure, rapid heartbeat, irregular heartbeat",Cardiologist
"acidity, diarrhea, gas, vomiting",Gastroenterologist
"addiction, anxiety, hopelessness",Psychiatrist
"back pain, fracture, bone pain",Orthopedic
"panic attacks, addiction, anxiety",Psychiatrist
"hip pain, lower back pain radiating, knee pain",Orthopedic
"breathlessness at night, rapid heartbeat, fatigue with breathlessness",Cardiologist
"sore throat, ear pain, blocked nose",ENT
"stress, mood swings, anxiety, addiction",Psychiatrist
"pcos symptoms, lower abdominal pain, period cramps",Gynecologist
"loss of appetite, persistent cough, difficulty swallowing",Oncologist
"child wheezing, baby vomiting, dehydration",Pediatrician
"pus near gum, pain while chewing, bleeding while brushing",Dentist
"loss of appetite, fatigue, flu, chills",General Physician
"persistent cough, persistent hoarseness, blood in stool",Oncologist
"memory loss, numbness, tremor",Neurologist
"chest pain, fatigue with breathlessness, fainting",Cardiologist
"mood swings, difficulty concentrating, hopelessness",Psychiatrist
"baby constipation, child sore throat",Pediatrician
"ear pain, dehydration",Pediatrician
"ear discharge, ringing in ear, sinus pain, ear pain",ENT
"anxiety, suicidal thoughts",Psychiatrist
"one sided weakness, blurred vision with headache, neck pain radiating",Neurologist
"fainting, rapid heartbeat, palpitations",Cardiologist
"muscle strain, joint pain, hip pain",Orthopedic
"ringing in ear, tonsillitis",ENT
"one sided weakness, severe headache, balance problem",Neurologist
"muscle strain, sprain",Orthopedic
"abdominal swelling, persistent fatigue, persistent cough",Oncologist
"ear pain, blocked nose, allergic rhinitis",ENT
"acne, hives, skin allergy",Dermatologist
"muscle strain, back pain, neck stiffness, shoulder pain",Orthopedic
"dandruff, hair fall",Dermatologist
"nausea, vomiting, acidity, indigestion",Gastroenterologist
"flu, sore throat, headache, body ache",General Physician
"dizziness, blurred vision with headache, numbness",Neurologist
"dry skin, hives, itching",Dermatologist
"fungal infection, psoriasis, eczema",Dermatologist
"arthritis, swelling",Orthopedic
"swollen lymph nodes, unusual bleeding",Oncologist
"abdominal swelling, persistent cough, blood in cough, blood in stool",Oncologist
"dizziness, left arm pain",Cardiologist
"runny nose, fatigue, fever, cold",General Physician
"neck stiffness, knee pain, joint pain, wrist injury",Orthopedic
"blocked nose, ear discharge, throat infection",ENT
"knee pain, difficulty walking, back pain",Orthopedic
"depressed mood, overthinking, anxiety, suicidal thoughts",Psychiatrist
"insomnia, trauma flashbacks, social anxiety",Psychiatrist
"diarrhea, child cough, child fever, fast breathing",Pediatrician
"cough, cold",General Physician
"persistent fatigue, persistent bone pain, loss of appetite, abdominal swelling",Oncologist
"eye discharge, eye strain headache",Ophthalmologist
"spotting, vaginal infection, missed period",Gynecologist
"burning urination, testicular swelling, back pain near kidneys, frequent urination",Urologist
"psoriasis, redness, hair fall, dry skin",Dermatologist
"reduced urine flow, frequent urination, difficulty starting urination",Urologist
"irregular periods, pcos symptoms, pelvic pain, white discharge",Gynecologist
"confusion, numbness, one sided weakness, balance problem",Neurologist
"sinus pain, allergic rhinitis, ear pain, blocked nose",ENT
"sensitivity to light, itchy eyes, difficulty seeing far",Ophthalmologist
"bloating, diarrhea",Gastroenterologist
"dizziness, sore throat",General Physician
"fast breathing, vaccination query, child fever, blocked nose",Pediatrician
"difficulty walking, wrist injury, joint pain",Orthopedic
"child stomach pain, dehydration, child wheezing",Pediatrician
"night vision problem, difficulty seeing far, red eye",Ophthalmologist
"fainting, blurred vision with headache, severe headache",Neurologist
"shoulder pain, wrist injury",Orthopedic
"red eye, double vision, blurred vision",Ophthalmologist
"pelvic pain, pregnancy nausea, pcos symptoms",Gynecologist
"vertigo, blocked nose",ENT
"baby vomiting, ear pain, dehydration, blocked nose",Pediatrician
"loss of appetite, runny nose",General Physician
"dizziness, chest tightness",Cardiologist
"blurred vision, eye strain headache, eye discharge",Ophthalmologist
"blocked nose, rash with fever, baby vomiting",Pediatrician
"constipation, acidity, nausea",Gastroenterologist
"mild fever, dizziness",General Physician
"rash with fever, diarrhea",Pediatrician
"loss of appetite, headache, runny nose",General Physician
"breathlessness at night, shortness of breath",Cardiologist
"bloating, loss of appetite, acidity",Gastroenterologist
"period cramps, spotting",Gynecologist
"foreign body sensation, dry eyes, night vision problem",Ophthalmologist
"mild fever, chills, weakness, body ache",General Physician
"lower abdominal pain urination, groin pain",Urologist
"sprain, muscle strain, arthritis",Orthopedic
"rapid heartbeat, fatigue with breathlessness, high blood pressure, dizziness",Cardiologist
"skin allergy, skin rash",Dermatologist
"painful periods, pcos symptoms, pelvic pain",Gynecologist
"dehydration, child cough",Pediatrician
"vomiting, food poisoning, stomach cramps",Gastroenterologist
"lower abdominal pain urination, testicular swelling, reduced urine flow, painful urination with fever",Urologist
"sinus pain, swollen neck glands, loss of voice",ENT
"cold, mild fever, runny nose",General Physician
"palpitations, fatigue with breathlessness",Cardiologist
"body ache, fever, headache",General Physician
"pressure in chest, irregular heartbeat, leg swelling",Cardiologist
"hearing loss, swollen neck glands, ear discharge, blocked nose",ENT
"nausea, abdominal pain, food poisoning, indigestion",Gastroenterologist
"loss of appetite, headache, fatigue",General Physician
"one sided weakness, severe headache, memory loss, neck pain radiating",Neurologist
"cavity pain, jaw pain, mouth ulcer",Dentist
"watering eyes, red eye, sensitivity to light",Ophthalmologist
"heavy bleeding, period cramps, white discharge",Gynecologist
"dizziness, shortness of breath",Cardiologist
"pressure in chest, irregular heartbeat",Cardiologist
"nose bleeding, ear discharge, sinus pain",ENT
"lower back pain radiating, neck stiffness, shoulder pain",Orthopedic
"bleeding while brushing, gum swelling",Dentist
"broken tooth, bleeding gums, gum swelling, bad breath",Dentist
"seizure, neck pain radiating, dizziness",Neurologist
"abdominal pain, constipation, heartburn, food poisoning",Gastroenterologist
"abdominal pain, blood in stool, bloating",Gastroenterologist
"addiction, hallucinations, overthinking",Psychiatrist
"pressure in chest, sweating, leg swelling",Cardiologist
"painful periods, itching, postpartum bleeding",Gynecologist
"hallucinations, addiction, insomnia, depressed mood",Psychiatrist
"unexplained weight loss, difficulty swallowing, blood in cough",Oncologist
"eye discharge, difficulty seeing far, night vision problem, swollen eyelid",Ophthalmologist
"cold, headache, flu",General Physician
"night urination, urinary urgency",Urologist
"watering eyes, eye discharge, sensitivity to light",Ophthalmologist
"hair fall, eczema, redness",Dermatologist
"eye strain headache, red eye, watering eyes, swollen eyelid",Ophthalmologist
"memory loss, balance problem, numbness",Neurologist
"dandruff, boils, ringworm",Dermatologist
"sore throat, runny nose, sinus pain",ENT
"shoulder pain, back pain, wrist injury, joint pain",Orthopedic
"tremor, fainting, one sided weakness, neck pain radiating",Neurologist
"hearing loss, sinus pain, blocked nose, sore throat",ENT
"persistent cough, swollen lymph nodes, persistent hoarseness",Oncologist
"irregular heartbeat, shortness of breath",Cardiologist
"anger issues, hallucinations, insomnia, overthinking",Psychiatrist
"social anxiety, depressed mood, anxiety",Psychiatrist
"sensitivity to light, foreign body sensation",Ophthalmologist
"blood in stool, diarrhea",Gastroenterologist
"arthritis, shoulder pain",Orthopedic
"tremor, seizure, dizziness, speech difficulty",Neurologist
"ear pain, rash with fever, vaccination query, child sore throat",Pediatrician
"swollen neck glands, hearing loss, ear discharge",ENT
"breathlessness at night, left arm pain, dizziness",Cardiologist
"skin allergy, psoriasis, ringworm, acne",Dermatologist
"blurred vision with headache, speech difficulty, fainting",Neurologist
"ringworm, acne, psoriasis",Dermatologist
"fainting, rapid heartbeat, palpitations",Cardiologist
"gas, constipation",Gastroenterologist
"night vision problem, eye pain, double vision",Ophthalmologist
"neck pain radiating, memory loss, tremor",Neurologist
"speech difficulty, balance problem, dizziness",Neurologist
"panic attacks, hallucinations, trauma flashbacks",Psychiatrist
"memory loss, severe headache",Neurologist
"irregular heartbeat, palpitations, pressure in chest",Cardiologist
"skin allergy, redness",Dermatologist
"swelling, knee pain, bone pain",Orthopedic
"fainting, left arm pain, sweating, shortness of breath",Cardiologist
"constipation, heartburn, food poisoning, indigestion",Gastroenterologist
"child sore throat, diarrhea, dehydration",Pediatrician
"abdominal swelling, blood in cough, swollen lymph nodes",Oncologist
"sensitivity to light, dry eyes, eye discharge",Ophthalmologist
"persistent bone pain, unusual bleeding, persistent fatigue",Oncologist
"urine leakage, urinary urgency, painful urination with fever, urine infection",Urologist
"itchy eyes, blurred vision, swollen eyelid",Ophthalmologist
"throat infection, ringing in ear, nose bleeding",ENT
"red eye, eye pain, double vision, sensitivity to light",Ophthalmologist
"ear pain, hearing loss, ear discharge, loss of voice",ENT
"fracture, hip pain, knee pain, shoulder pain",Orthopedic
"pelvic pain, irregular periods, spotting, pcos symptoms",Gynecologist
"baby vomiting, child fever, newborn feeding issue, blocked nose",Pediatrician
"urine leakage, groin pain, night urination, painful urination with fever",Urologist
"painful urination with fever, urine leakage",Urologist
"fatigue with breathlessness, chest tightness, breathlessness at night",Cardiologist
"redness, skin allergy, hives",Dermatologist
"painful periods, missed period",Gynecologist
"lower abdominal pain, vaginal infection, pcos symptoms",Gynecologist
"tremor, one sided weakness",Neurologist
"irregular heartbeat, fainting",Cardiologist
"stomach cramps, jaundice, gas",Gastroenterologist
"difficulty seeing far, red eye, sensitivity to light",Ophthalmologist
"cough, mild fever, cold",General Physician
"night vision problem, red eye",Ophthalmologist
"dandruff, hives, redness",Dermatologist
"urine infection, kidney stone pain",Urologist
"unusual bleeding, swollen lymph nodes, difficulty swallowing",Oncologist
"child stomach pain, child cough",Pediatrician
"difficulty swallowing, abdominal swelling, non healing ulcer, loss of appetite",Oncologist
"double vision, night vision problem, itchy eyes, sensitivity to light",Ophthalmologist
"weakness, fatigue, cough",General Physician
"loss of appetite, breast lump",Oncologist
"runny nose, weakness",General Physician
"jaundice, abdominal pain, nausea",Gastroenterologist
"pigmentation, eczema",Dermatologist
"dizziness, leg swelling, sweating, left arm pain",Cardiologist
"pregnancy nausea, postpartum bleeding",Gynecologist
"hair fall, acne",Dermatologist
"frequent urination, difficulty starting urination, testicular swelling",Urologist
"mild fever, runny nose, cough",General Physician
"breast tenderness, spotting, pelvic pain",Gynecologist
"dehydration, vaccination query, baby vomiting",Pediatrician
"frequent urination, groin pain, urine infection",Urologist
"persistent cough, breast lump",Oncologist
"depressed mood, social anxiety",Psychiatrist
"watering eyes, swollen eyelid, red eye, night vision problem",Ophthalmologist
"left arm pain, rapid heartbeat, breathlessness at night",Cardiologist
"severe headache, migraine, dizziness, fainting",Neurologist
"difficulty seeing far, eye pain, night vision problem",Ophthalmologist
"psoriasis, fungal infection, ringworm, itching",Dermatologist
"neck stiffness, joint pain",Orthopedic
"migraine, speech difficulty, blurred vision with headache",Neurologist
"hearing loss, ear discharge, swollen neck glands, loss of voice",ENT
"bleeding gums, pus near gum, tooth pain with headache",Dentist
"child stomach pain, blocked nose, ear pain, child cough",Pediatrician
"chest tightness, shortness of breath, left arm pain",Cardiologist
"throat infection, ringing in ear, loss of voice",ENT
"neck pain radiating, fainting",Neurologist
"blurred vision, red eye, swollen eyelid",Ophthalmologist
"low grade fever, runny nose",General Physician
"allergic rhinitis, sore throat, nose bleeding",ENT
"bad breath, pus near gum, pain while chewing",Dentist
"missed period, heavy bleeding, white discharge",Gynecologist
"double vision, sensitivity to light, watering eyes, eye pain",Ophthalmologist
"irregular heartbeat, dizziness, chest pain",Cardiologist
"heartburn, nausea",Gastroenterologist
"trauma flashbacks, difficulty concentrating, panic attacks",Psychiatrist
"pressure in chest, left arm pain, palpitations",Cardiologist
"difficulty swallowing, breast lump, blood in cough",Oncologist
"blurred vision, difficulty seeing far, sensitivity to light, double vision",Ophthalmologist
"boils, skin rash, pigmentation",Dermatologist
"fatigue with breathlessness, leg swelling",Cardiologist
"acne, eczema, psoriasis, skin rash",Dermatologist
"fatigue with breathlessness, breathlessness at night, rapid heartbeat",Cardiologist
"itching, pcos symptoms, breast tenderness, lower abdominal pain",Gynecologist
"sore throat, throat infection, allergic rhinitis",ENT
"gum swelling, pain while chewing, bleeding while brushing",Dentist
"persistent hoarseness, persistent fatigue, non healing ulcer",Oncologist
"abdominal swelling, persistent cough, difficulty swallowing",Oncologist
"baby constipation, child sore throat",Pediatrician
"stress, anxiety, trauma flashbacks, mood swings",Psychiatrist
"dry eyes, blurred vision, night vision problem",Ophthalmologist
"knee pain, hip pain, fracture",Orthopedic
"throat infection, ringing in ear, nose bleeding, vertigo",ENT
"flu, low grade fever, cold, fever",General Physician
"cavity pain, mouth ulcer, swollen gums",Dentist
"stomach cramps, acidity",Gastroenterologist
"blood in stool, persistent cough, night sweats",Oncologist
"vomiting, nausea",Gastroenterologist
"hallucinations, panic attacks, overthinking",Psychiatrist
"painful urination with fever, blood in urine",Urologist
"difficulty starting urination, testicular swelling, painful urination with fever",Urologist
"stress, insomnia, mood swings, trauma flashbacks",Psychiatrist
"pcos symptoms, pelvic pain, heavy bleeding, itching",Gynecologist
"loss of appetite, unexplained weight loss, blood in cough",Oncologist
"unexplained weight loss, night sweats",Oncologist
"ear pain, hearing loss, blocked nose, throat infection",ENT
"body ache, low grade fever, headache",General Physician
"bleeding while brushing, jaw pain, broken tooth",Dentist
"swelling, bone pain, hip pain",Orthopedic
"migraine, tremor, memory loss",Neurologist
"urinary urgency, difficulty starting urination",Urologist
"bad breath, cavity pain, bleeding gums",Dentist
"swelling, lower back pain radiating, fracture, bone pain",Orthopedic
"blurred vision with headache, numbness, speech difficulty",Neurologist
"tonsillitis, ringing in ear, ear discharge, throat infection",ENT
"runny nose, allergic rhinitis",ENT
"leg swelling, chest pain, rapid heartbeat",Cardiologist
"numbness, tingling, confusion",Neurologist
"memory loss, severe headache",Neurologist
"breast lump, difficulty swallowing, non healing ulcer",Oncologist
"night sweats, persistent hoarseness, difficulty swallowing, abdominal swelling",Oncologist
"fracture, lower back pain radiating",Orthopedic
"shoulder pain, wrist injury, sprain, muscle strain",Orthopedic
"night vision problem, eye pain",Ophthalmologist
"lower back pain radiating, neck stiffness, muscle strain, hip pain",Orthopedic
"fracture, knee pain, sprain, hip pain",Orthopedic
"fatigue with breathlessness, palpitations",Cardiologist
"difficulty seeing far, eye pain, blurred vision",Ophthalmologist
"bloating, jaundice, loss of appetite",Gastroenterologist
"gum swelling, broken tooth, swollen gums, jaw pain",Dentist
"vaccination query, rash with fever, child cough",Pediatrician
"dizziness, migraine, balance problem",Neurologist
"kidney stone pain, difficulty starting urination, frequent urination, groin pain",Urologist
"sore throat, chills, headache",General Physician
"mood swings, hallucinations",Psychiatrist
"confusion, speech difficulty, severe headache",Neurologist
"fungal infection, ringworm, dandruff",Dermatologist
"difficulty starting urination, urinary urgency, testicular swelling, back pain near kidneys",Urologist
"boils, dry skin",Dermatologist
"groin pain, lower abdominal pain urination, urine leakage",Urologist
"pus near gum, pain while chewing, bleeding while brushing",Dentist
"testicular swelling, difficulty starting urination, urine leakage, kidney stone pain",Urologist
"chest tightness, fatigue with breathlessness, fainting",Cardiologist
"heartburn, vomiting, nausea, abdominal pain",Gastroenterologist
"overthinking, social anxiety, anxiety, depressed mood",Psychiatrist
"hair fall, pigmentation, redness",Dermatologist
"diarrhea, newborn feeding issue, child cough",Pediatrician
"rapid heartbeat, high blood pressure, fainting",Cardiologist
"sore throat, low grade fever, cough",General Physician
"chest pain, fatigue with breathlessness",Cardiologist
"dehydration, child cough, rash with fever",Pediatrician
"knee pain, wrist injury, swelling",Orthopedic
"psoriasis, ringworm, eczema",Dermatologist
"unexplained weight loss, night sweats, loss of appetite",Oncologist
"child stomach pain, child wheezing, diarrhea, newborn feeding issue",Pediatrician
"itching, skin rash, skin allergy",Dermatologist
"eye strain headache, sudden vision loss",Ophthalmologist
"blood in cough, unexplained weight loss, persistent hoarseness, non healing ulcer",Oncologist
"chills, cough, low grade fever",General Physician
"vaginal infection, lower abdominal pain, irregular periods, postpartum bleeding",Gynecologist
"ringworm, acne, fungal infection",Dermatologist
"fast breathing, vaccination query",Pediatrician
"constipation, vomiting, blood in stool, gas",Gastroenterologist
"heavy bleeding, pelvic pain, lower abdominal pain, itching",Gynecologist
"redness, hives, dry skin",Dermatologist
"memory loss, severe headache, neck pain radiating, blurred vision with headache",Neurologist
"persistent bone pain, abdominal swelling",Oncologist
"dandruff, boils, hair fall",Dermatologist
"psoriasis, acne",Dermatologist
"runny nose, allergic rhinitis, swollen neck glands",ENT
"blocked nose, diarrhea, baby vomiting",Pediatrician
"jaw pain, bleeding while brushing, tooth pain with headache",Dentist
"sensitivity to light, blurred vision, difficulty seeing far",Ophthalmologist
"ringworm, dry skin, dandruff",Dermatologist
"irregular periods, pregnancy nausea, heavy bleeding",Gynecologist
"dry skin, hair fall, psoriasis",Dermatologist
"weakness, cold, chills, sore throat",General Physician
"difficulty seeing far, night vision problem, itchy eyes",Ophthalmologist
"dehydration, rash with fever, baby constipation, child cough",Pediatrician
"dehydration, child fever, newborn feeding issue",Pediatrician
"difficulty concentrating, hopelessness",Psychiatrist
"left arm pain, fainting, leg swelling",Cardiologist
"cavity pain, jaw pain",Dentist
"speech difficulty, memory loss, blurred vision with headache",Neurologist
"lower back pain radiating, wrist injury, shoulder pain",Orthopedic
"itching, white discharge, pcos symptoms",Gynecologist
"body ache, cold, fever",General Physician
"double vision, sensitivity to light, night vision problem",Ophthalmologist
"dry skin, ringworm, itching",Dermatologist
"mild fever, cold, weakness",General Physician
"mouth ulcer, pus near gum, swollen gums, bleeding gums",Dentist
"heavy bleeding, missed period, lower abdominal pain, itching",Gynecologist
"pus near gum, swollen gums",Dentist
"loss of appetite, mild fever, low grade fever",General Physician
"child stomach pain, rash with fever, child cough",Pediatrician
"persistent bone pain, non healing ulcer, unexplained weight loss, breast lump",Oncologist
"acne, hives, ringworm",Dermatologist
"knee pain, neck stiffness, swelling",Orthopedic
"child sore throat, blocked nose",Pediatrician
"back pain, bone pain, knee pain",Orthopedic
"itchy eyes, difficulty seeing far, blurred vision",Ophthalmologist
"leg swelling, pressure in chest, fatigue with breathlessness",Cardiologist
"diarrhea, nausea, gas",Gastroenterologist
"chest pain, pressure in chest",Cardiologist
"itching, eczema",Dermatologist
"blood in stool, persistent fatigue, unusual bleeding",Oncologist
"non healing ulcer, persistent fatigue, night sweats, breast lump",Oncologist
"leg swelling, pressure in chest, breathlessness at night",Cardiologist
"wisdom tooth pain, gum swelling, swollen gums",Dentist
"vertigo, swollen neck glands",ENT
"baby vomiting, blocked nose, baby constipation, dehydration",Pediatrician
"diarrhea, newborn feeding issue, child fever",Pediatrician
"difficulty swallowing, persistent fatigue",Oncologist
"non healing ulcer, loss of appetite",Oncologist
"leg swelling, sweating, palpitations",Cardiologist
"body ache, low grade fever, fever",General Physician
"runny nose, hearing loss, nose bleeding",ENT
"dizziness, runny nose, mild fever, body ache",General Physician
"foreign body sensation, sudden vision loss",Ophthalmologist
"swollen eyelid, difficulty seeing far, red eye, watering eyes",Ophthalmologist
"dizziness, balance problem",Neurologist
"vaginal infection, breast tenderness",Gynecologist
"numbness, tingling, dizziness",Neurologist
"persistent fatigue, difficulty swallowing, breast lump",Oncologist
"shortness of breath, palpitations, fainting",Cardiologist
"spotting, painful periods, breast tenderness, vaginal infection",Gynecologist
"acne, psoriasis, dandruff",Dermatologist
"vertigo, allergic rhinitis",ENT
"pigmentation, itching, skin rash",Dermatologist
"skin rash, dry skin, itching",Dermatologist
"loss of appetite, flu",General Physician
"vaccination query, child cough, child stomach pain, baby vomiting",Pediatrician
"swollen eyelid, sensitivity to light, eye pain, eye discharge",Ophthalmologist
"breast lump, persistent bone pain",Oncologist
"tonsillitis, nose bleeding",ENT
"seizure, blurred vision with headache, fainting",Neurologist
"child stomach pain, ear pain, rash with fever",Pediatrician
"high blood pressure, rapid heartbeat, dizziness, shortness of breath",Cardiologist
"chest pain, high blood pressure, leg swelling, pressure in chest",Cardiologist
"vaccination query, diarrhea",Pediatrician
"tingling, blurred vision with headache, seizure, speech difficulty",Neurologist
"loss of appetite, fever",General Physician
"swollen lymph nodes, loss of appetite, unexplained weight loss",Oncologist
"child wheezing, vaccination query, child stomach pain",Pediatrician
"pregnancy nausea, painful periods, lower abdominal pain, pcos symptoms",Gynecologist
"runny nose, body ache",General Physician
"frequent urination, painful urination with fever, burning urination",Urologist
"bleeding while brushing, mouth ulcer, tooth pain with headache, bad breath",Dentist
"child sore throat, child cough, ear pain, blocked nose",Pediatrician
"lower abdominal pain, period cramps, pelvic pain",Gynecologist
"pain while chewing, gum swelling, tooth sensitivity",Dentist
"double vision, eye strain headache, watering eyes",Ophthalmologist
"chest tightness, high blood pressure",Cardiologist
"painful urination with fever, kidney stone pain",Urologist
"skin allergy, pigmentation",Dermatologist
"back pain near kidneys, testicular swelling",Urologist
"bad breath, tooth pain with headache, tooth sensitivity",Dentist
"chest pain, dizziness, rapid heartbeat",Cardiologist
"joint pain, fracture",Orthopedic
"fungal infection, hives, psoriasis",Dermatologist
"suicidal thoughts, hallucinations, anger issues",Psychiatrist
"knee pain, wrist injury, bone pain",Orthopedic
"sinus pain, sore throat, allergic rhinitis",ENT
"double vision, eye strain headache, eye discharge, difficulty seeing far",Ophthalmologist
"back pain near kidneys, urinary urgency",Urologist
"tooth sensitivity, gum swelling",Dentist
"breast lump, night sweats, non healing ulcer",Oncologist
"indigestion, nausea, constipation, jaundice",Gastroenterologist
"swollen neck glands, blocked nose, vertigo, loss of voice",ENT
"night sweats, blood in stool",Oncologist
"chills, flu, sore throat",General Physician
"rash with fever, diarrhea",Pediatrician
"missed period, lower abdominal pain",Gynecologist
"back pain near kidneys, difficulty starting urination, lower abdominal pain urination",Urologist
"heartburn, constipation, vomiting, gas",Gastroenterologist
"skin rash, skin allergy, hives",Dermatologist
"ear discharge, allergic rhinitis, runny nose, hearing loss",ENT
"wisdom tooth pain, pus near gum, jaw pain",Dentist
"missed period, vaginal infection, breast tenderness",Gynecologist
"frequent urination, urine leakage, difficulty starting urination",Urologist
"ringworm, fungal infection, itching, psoriasis",Dermatologist
"back pain near kidneys, urinary urgency, lower abdominal pain urination, urine leakage",Urologist
"ringing in ear, ear discharge, vertigo",ENT
"dizziness, numbness, blurred vision with headache",Neurologist
"sore throat, mild fever",General Physician
"knee pain, bone pain, swelling",Orthopedic
"depressed mood, anger issues, hopelessness",Psychiatrist
"blood in urine, urine infection, reduced urine flow, night urination",Urologist
"left arm pain, fatigue with breathlessness, rapid heartbeat, fainting",Cardiologist
"pus near gum, wisdom tooth pain, gum swelling",Dentist
"suicidal thoughts, stress, hopelessness",Psychiatrist
"abdominal swelling, unexplained weight loss, persistent bone pain, blood in stool",Oncologist
"persistent hoarseness, loss of appetite, persistent cough",Oncologist
"mouth ulcer, pain while chewing, pus near gum",Dentist
"sensitivity to light, sudden vision loss, eye strain headache",Ophthalmologist
"sudden vision loss, eye pain, itchy eyes",Ophthalmologist
"abdominal pain, gas, stomach cramps",Gastroenterologist
"ringing in ear, nose bleeding",ENT
"difficulty walking, neck stiffness, bone pain",Orthopedic
"acidity, blood in stool",Gastroenterologist
"swollen gums, wisdom tooth pain, toothache",Dentist
"urinary urgency, urine leakage",Urologist
"acidity, indigestion, vomiting",Gastroenterologist
"non healing ulcer, abdominal swelling, loss of appetite",Oncologist
"sore throat, ear pain, swollen neck glands, sinus pain",ENT
"blocked nose, baby vomiting, child wheezing, fast breathing",Pediatrician
"mouth ulcer, cavity pain, swollen gums, broken tooth",Dentist
"pregnancy nausea, painful periods, postpartum bleeding",Gynecologist
"body ache, cough",General Physician
"dandruff, acne, skin allergy",Dermatologist
"dry skin, fungal infection, eczema",Dermatologist
"anxiety, hallucinations",Psychiatrist
"high blood pressure, chest pain, sweating",Cardiologist
"chest pain, sweating, chest tightness, dizziness",Cardiologist
"blocked nose, ear discharge, tonsillitis",ENT
"frequent urination, kidney stone pain, painful urination with fever",Urologist
"high blood pressure, shortness of breath, breathlessness at night, left arm pain",Cardiologist
"swollen neck glands, tonsillitis, ear pain",ENT
"anxiety, trauma flashbacks, hallucinations",Psychiatrist
"balance problem, tremor, speech difficulty, memory loss",Neurologist
"painful periods, pelvic pain, itching",Gynecologist
"fungal infection, acne, psoriasis, skin rash",Dermatologist
"rapid heartbeat, leg swelling, pressure in chest",Cardiologist
"persistent bone pain, persistent fatigue, abdominal swelling",Oncologist
"hip pain, neck stiffness, sprain, swelling",Orthopedic
"headache, sore throat, fatigue",General Physician
"back pain near kidneys, reduced urine flow, night urination, frequent urination",Urologist
"ringworm, hives, pigmentation",Dermatologist
"wrist injury, hip pain",Orthopedic
"wrist injury, lower back pain radiating, sprain",Orthopedic
"sore throat, body ache",General Physician
"difficulty concentrating, stress, anxiety, social anxiety",Psychiatrist
"period cramps, pregnancy nausea, pelvic pain, white discharge",Gynecologist
"speech difficulty, confusion, tremor",Neurologist
"vertigo, loss of voice",ENT
"dizziness, breathlessness at night, leg swelling",Cardiologist
"sinus pain, tonsillitis, sore throat",ENT
"hallucinations, depressed mood, stress",Psychiatrist
"sudden vision loss, swollen eyelid, itchy eyes",Ophthalmologist
"suicidal thoughts, insomnia, anxiety, social anxiety",Psychiatrist
"addiction, hopelessness, panic attacks",Psychiatrist
"diarrhea, heartburn, food poisoning",Gastroenterologist
"lower back pain radiating, hip pain",Orthopedic
"nose bleeding, blocked nose, ear pain",ENT
"broken tooth, mouth ulcer, bleeding while brushing, tooth sensitivity",Dentist
"fainting, neck pain radiating, one sided weakness",Neurologist
"hopelessness, difficulty concentrating",Psychiatrist
"testicular swelling, back pain near kidneys, urine infection, burning urination",Urologist
"trauma flashbacks, stress, addiction",Psychiatrist
"spotting, vaginal infection",Gynecologist
"tooth pain with headache, bleeding while brushing, mouth ulcer",Dentist
"difficulty concentrating, stress, insomnia, mood swings",Psychiatrist
"back pain near kidneys, reduced urine flow, blood in urine",Urologist
"neck stiffness, muscle strain, shoulder pain, wrist injury",Orthopedic
"persistent fatigue, night sweats, loss of appetite, blood in cough",Oncologist
"lower back pain radiating, knee pain, hip pain",Orthopedic
"mild fever, dizziness",General Physician
"left arm pain, high blood pressure, fainting",Cardiologist
"foreign body sensation, swollen eyelid",Ophthalmologist
"skin allergy, itching, boils",Dermatologist
"left arm pain, breathlessness at night",Cardiologist
"constipation, acidity, heartburn",Gastroenterologist
"overthinking, mood swings",Psychiatrist
"burning urination, urine infection, testicular swelling",Urologist
"heartburn, constipation, diarrhea",Gastroenterologist
"mood swings, hopelessness, stress, trauma flashbacks",Psychiatrist
